Main_ID,RAdeg,DEdeg,PosErr,Pos_ref,Popular_ID,Status,Spectype,Spectype_ref,Spectype_flag,Class,Compact,Compact_ref,Compact_flag,Bursts,Bursts_ref,Mx,Mx_err,Mx_ref,Mx_flag,Mo,Mo_err,Mo_ref,Mo_flag,Period,Period_err,Period_ref,Period_flag,K2,K2_err,K2_ref,K2_flag,Spin_period_derivative,Spin_period_derivative_err,Spin_period_derivative_ref,Spin_period_derivative_flag,Eccentricity,Eccentricity_err,Eccentricity_ref,Eccentricity_flag,Spin_period,Spin_period_err,Spin_period_ref,Spin_period_flag,RV,RV_err,RV_ref,RV_flag,Gaia_Distance,Gaia_Distance_err_lo,Gaia_Distance_err_up,Gaia_flag,Other_Distance,Other_Distance_err,Other_Distance_ref,Other_Distance_flag,Merged_Dist,Globular_cluster,Comments,best_ID,HEAO_ID,HEAO_RA,HEAO_Dec,HEAO_err,HEAO_ref,UHURU4_ID,UHURU4_RA,UHURU4_Dec,UHURU4_err,UHURU4_ref,ARIEL3_ID,ARIEL3_RA,ARIEL3_Dec,ARIEL3_err,ARIEL3_ref,IGR_ID,IGR_RA,IGR_Dec,IGR_err,IGR_ref,2E_ID,2E_RA,2E_Dec,2E_err,2E_ref,ROSAT_ID,ROSAT_RA,ROSAT_Dec,ROSAT_err,ROSAT_ref,ROSATF_ID,ROSATF_RA,ROSATF_Dec,ROSATF_err,ROSATF_ref,FERMI_ID,FERMI_RA,FERMI_Dec,FERMI_err,FERMI_ref,SAX_ID,SAX_RA,SAX_Dec,SAX_err,SAX_ref,Swift_ID,Swift_RA,Swift_Dec,Swift_err,Swift_ref,XMM_ID,XMM_RA,XMM_Dec,XMM_err,XMM_ref,Chandra_ID,Chandra_RA,Chandra_Dec,Chandra_err,Chandra_ref,2MASS_ID,2MASS_RA,2MASS_Dec,2MASS_err,2MASS_ref,Gaia_ID,Gaia_RA,Gaia_Dec,Gaia_err,Gaia_ref
2FGL J0427.2-6705,66.95685947442904,-67.07640585049464,1.9969155804978478E-8,,3FGL J0427.9-6704,confirmed,K7V,2016ApJ...831...89S,0,,NS,2020MNRAS.494.3912K,0,,,1.86,0.11,2020MNRAS.494.3912K,1,0.65,0.08,2020MNRAS.494.3912K,1,8.80128,1.68E-5,2016ApJ...831...89S,0,293.0,4.0,2016ApJ...831...89S,0,,,,,,,,,,,,,79.0,3.0,2016ApJ...831...89S,0,2494.0,-329.0,475.0,0,3.7,1.9,2020MNRAS.494.3912K,0,2494.0,,,Gaia DR3 4656677385699742208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4FGL J0427.8-6704,66.9577,-67.0818,0.020845,,,,,,,2SXPS J042749.6-670435,66.95687,-67.07641,0.0010277777910232544,,4XMM J042749.6-670434,66.956726,-67.076368,7.081527777777778E-5,,,,,,,,,,,,4656677385699742208,66.95685947442904,-67.07640585049464,1.9969155804978478E-8,
ATLAS 19bcxp,68.84708333333333,55.376111111111115,2.777777777777778E-4,,SRGA J043520.9+552226,confirmed,,,,,BH,2021ApJ...909L..27Y,1,,,,,,,0.8,-99.0,2021ApJ...920..120Y,1,16.0,-99.0,2021ApJ...920..121Y,1,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2.0,2022A&A...657A.104C,1,8000.0,,,AT 2019wey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
4U 0513-40,78.5273875381375,-40.043155022466856,1.4226701524522571E-7,,4U 0513-40,confirmed,WD,2015ApJ...798..117P,0,,NS,2008ApJS..179..360G,0,yes,2008ApJS..179..360G,,,,,0.55,,2015ApJ...798..117P,1,0.2814,0.004,2011MNRAS.414L..41F,0,,,,,,,,,0.02,,2015ApJ...798..117P,2,,,,,,,,,4471.0,-1177.0,1748.0,1,11.951,0.134,2021MNRAS.505.5957B,0,11951.0,NGC 1851,Type I burst;2008ApJS..179..360G;,Gaia DR3 4819197505072770432,1H0512-401,78.5312,-40.0436,0.0,,,,,,,3A 0512-401,78.5504,-40.1337,0.1006584235323689,,4U 0513-40,78.527,-40.044,0.04699999888737996,,,,,,,1WGA J0514.1-4002,78.525,-40.0457,0.003611111111111111,,,,,,,4FGL J0513.9-4005,78.4959,-40.0949,0.086897,,4U 0512-401,78.535,-40.059,0.02833333412806193,,2SXPS J051406.5-400237,78.52736,-40.04372,9.722222222222222E-4,,4XMM J051406.4-400238,78.52684,-40.043914,5.277811111111112E-4,,2CXO J051406.5-400237X,78.52744609219998,-40.043829960164956,4.109655254153474E-4,,2MASS J05140640-4002340,78.526693,-40.042789,6.11111107799742E-5,,4819197505072770432,78.5273875381375,-40.043155022466856,1.4226701524522571E-7,
2FGL J0540.1-7554,85.02499999999999,-75.9,2.777777777777778E-4,,4FGL J0540.0-7552,confirmed,K IV-III,2021ApJ...917...69S,1,,NS,2021ApJ...917...69S,1,,,,,,,,,,,2.7,,2021ApJ...917...69S,2,,,,,,,,,,,,,,,,,,,,,,,,,5.0,-1.0,2021ApJ...917...69S,1,5000.0,,transitional millisecond pulsar;2021ApJ...917...69S;,2FGL J0540.1-7554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
MAXI J0556-332,89.07499999999999,-33.13333333333333,3.8888888888888887E-4,,MAXI J0556-332,confirmed,,,,,NS,2011ATel.3116....1R,1,,,,,,,,,,,16.43,0.12,2012MNRAS.420.3538C,0,190.0,,2012MNRAS.420.3538C,1,,,,,,,,,,,,,134.0,1.9,2012MNRAS.420.3538C,0,,,,,,,,,46000.0,,,MAXI J0556-332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
Swift J061223.0+701243.9,93.09583333333333,70.21219444444445,3.8888888888888887E-4,,Swift J061223.0+701243.9,candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swift J061223.0+701243.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2SXPS J061222.5+701243,93.09406,70.21221,9.722222222222222E-4,,,,,,,,,,,,,,,,,0,,,,
V* V1055 Ori,94.27952049166454,9.132330462966962,4.0016509592533116E-8,,4U 0614+091,confirmed,,,,,NS,1995ApJ...440..841B,0,,,,,,,,,,,1.0,-1.0,2014A&A...572A..99B,1,,,,,,,,,,,,,0.00241109,6.0E-8,2008ApJ...672L..37S,0,,,,,3672.0,-1462.0,3220.0,0,,,,,3672.0,,,Gaia DR3 3328832063677024000,,,,,,,,,,,3A 0614+091,94.2753,9.1409,0.0,,4U 0614+091,94.28,9.137,0.007499999801317851,,,,,,,,,,,,,,,,,,,,,,4U 0614+091,94.282,9.125,0.026666667064030966,,2SXPS J061706.1+090749,94.27572,9.13052,0.001055555542310079,,4XMM J061706.9+090757,94.278938,9.132674,5.312802777777777E-4,,,,,,,,,,,,28832063677024000,94.27952049166454,9.132330462966962,4.0016509592533116E-8,
1A 0620-00,95.6856,-0.3456,2.4694444444444446E-8,,1A 0620-00,confirmed,K4-5V,1980MNRAS.192..709M,0,,BH,1987ATsir1477....1K,1,,,5.86,0.24,2017MNRAS.472.1907V,1,0.34,0.03,2017MNRAS.472.1907V,1,7.752336,9.6E-5,1986ApJ...308..110M,0,435.4,0.5,2008MNRAS.384..849N,0,,,,,,,,,,,,,4.0,2.0,1994MNRAS.266..137M,0,1486.0,-225.0,256.0,0,,,,,1486.0,,,1A 0620-00,,,,,,,,,,,3A 0620-003,95.689,-0.346,0.0,,,,,,,,,,,,1WGA J0622.7-0020,95.6863,-0.3479,0.003611111111111111,,,,,,,,,,,,,,,,,2SXPS J062244.6-002044,95.68609,-0.34573,0.0011111111111111111,,4XMM J062244.3-002045,95.684932,-0.34585,2.790252777777778E-4,,2CXO J062244.5-002044,95.68557136542881,-0.3456439679839791,1.9735878522681363E-4,,2MASS J06224454-0020442,95.685612,-0.345628,1.9444444527228672E-5,,118721026600835328,95.68559132135728,-0.34565907288683384,2.4704929027292466E-8,
MAXI J0637-430,99.0983,-42.8678,6.388888888888889E-4,,MAXI J0637-430,confirmed,,,,,BH,2019ATel13270....1T,0,,,5.1,1.6,2022MNRAS.515.3105S,0,0.25,0.07,2022MNRAS.515.3105S,0,2.2,0.8,2022MNRAS.515.3105S,0,710.0,160.0,2022MNRAS.515.3105S,0,,,,,,,,,,,,,,,,,,,,,8.7,2.3,2022MNRAS.515.3105S,0,8700.0,,,MAXI J0637-430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
NAME SRGt J071522.1-191609,108.84208333333332,-19.269166666666667,2.777777777777778E-4,,SRGt J071522.1-191609,candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XRBcandidate;2020ATel13716....1V;,NAME SRGt J071522.1-191609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
V* UY Vol,117.1405,-67.7521,1.5833333333333333E-5,,EXO 0748-676,confirmed,,,,,NS,1985ESASP.236..119P,0,yes,1985ESASP.236..119P,,,,,,,,,3.824106869,4.8E-9,1997ApJ...486.1000H,0,410.0,5.0,2012MNRAS.420...75R,0,,,,,,,,,0.00181011856,,2009ATel.2094....1G,0,43.8,3.6,2012MNRAS.420...75R,0,,,,,,,,,,,Type I burst;1985ESASP.236..119P;,EXO 0748-676,,,,,,,,,,,,,,,,EXO 0748-676,117.141,-67.753,0.006999999781449636,,2E 1882,117.11125,-67.6275,0.014166666666666666,,1WGA J0748.5-6745,117.1442,-67.7514,0.003611111111111111,,,,,,,,,,,,EXO 0748-676,117.088,-67.764,0.026666667064030966,,2SXPS J074833.7-674507,117.14044,-67.75213,6.666666931576198E-4,,4XMM J074833.7-674507,117.140517,-67.752147,1.8091111111111113E-5,,2CXO J074833.7-674507,117.14045622114361,-67.75207407677253,1.9719805588546663E-4,,,,,,,0,,,,
SAX J0835.9+5118,128.97499999999997,51.3,2.777777777777778E-4,,SAX J0835.9+5118,confirmed,,,,,NS,1999IAUC.7174....1G,0,yes,1999IAUC.7174....1G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type I bursts ?;1999IAUC.7174....1G;,SAX J0835.9+5118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
4U 0836-42,129.325,-42.88333333333333,2.777777777777778E-4,,4U 0836-429,confirmed,,,,,NS,1992PASJ...44..641A,0,yes,1992PASJ...44..641A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type I burst;1992PASJ...44..641A;,1WGA J0837.3-4253,,,,,,,,,,,,,,,,4U 0836-429,129.348,-42.901,0.0038333334028720855,,,,,,,1WGA J0837.3-4253,129.3471,-42.8987,0.003611111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
GRB 200205A,130.17499999999998,-35.266666666666666,3.8888888888888887E-4,,GRB 200205A,confirmed,WD,2021A&A...650A..69C,1,,NS,2020ATel13452....1K,1,,,,,,,,,,,,,,,,,,,,,,,,,,,8.96,,2020ATel13452....1K,1,,,,,,,,,,,,,,,UCXB candidate;2021A&A...650A..69C;Tentative spin period;2020ATel13452....1K;,Swift J0840.7-3516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
MAXI J0911-655,138.0095551519856,-64.86835146353025,4.736811849806044E-6,,MAXI J0911-655,confirmed,WD,2017A&A...598A..34S,1,,NS,2017A&A...598A..34S,0,,,,,,,0.024,-1.0,2017A&A...598A..34S,1,0.73887031,1.0E-8,2017A&A...598A..34S,0,,,,,2.56E-4,1.5E-5,2017A&A...598A..34S,0,0.005,-99.0,2017A&A...598A..34S,0,0.002941392643,2.6E-12,2017A&A...598A..34S,0,,,,,,,,0,10.06,0.112,2021MNRAS.505.5957B,0,10060.0,NGC 2808,GC;,Gaia DR3 5248759277665112064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2SXPS J091202.4-645205,138.01027,-64.86827,6.944444444444445E-4,,4XMM J091202.4-645207,138.010395,-64.868694,3.7320527777777776E-4,,2CXO J091202.4-645206,138.01020795387967,-64.8683925196457,2.0583949597856855E-4,,,,,,,5248759277665112064,138.0095551519856,-64.86835146353025,4.736811849806044E-6,
4U 0919-54,140.1103,-55.2068,1.4583333333333333E-8,,2S 0918-549,confirmed,WD,2005A&A...441..675I,1,,NS,2001ApJ...553..335J,0,yes,2001ApJ...553..335J,,,,,0.03,,2005A&A...441..675I,1,0.29,0.002,2011ApJ...729....8Z,0,,,,,,,,,,,,,,,,,,,,,,,,,4.8,0.7,2005A&A...441..675I,1,4800.0,,Type I burst;2001ApJ...553..335J;,2S 0918-549,,,,,,,,,,,3A 0918-549,140.1136,-55.2031,0.0,,,,,,,,,,,,1WGA J0920.4-5512,140.1121,-55.2052,0.003611111111111111,,,,,,,,,,,,4U 0918-549,140.114,-55.21,0.026666667064030966,,2SXPS J092026.9-551222,140.11211,-55.20616,9.722222222222222E-4,,4XMM J092026.7-551224,140.111445,-55.206742,1.358386111111111E-4,,,,,,,,,,,,0,,,,
V* V395 Car,140.6445,-63.2948,6.3611111111111115E-9,,2S 0921-630,confirmed,K0III,1999A&A...344..101S,0,,NS,2007ApJ...669L..85S,1,,,1.44,0.1,2007ApJ...669L..85S,1,0.35,0.03,2007ApJ...669L..85S,1,216.0624,0.0024,2012MNRAS.424..620A,0,99.1,3.1,2005MNRAS.356..621J,0,,,,,,,,,,,,,44.4,2.4,2005MNRAS.356..621J,0,9070.0,-1255.0,2129.0,0,9.2,,2018AJ....156...58B,1,9070.0,,,2S 0921-630,1H0920-629,140.4514,-63.1143,0.11343628451338567,,,,,,,3A 0921-630,140.6401,-63.2949,0.0,,,,,,,,,,,,1WGA J0922.5-6317,140.6433,-63.2974,0.003611111111111111,,,,,,,4FGL J0921.7-6317,140.4454,-63.2906,0.086527,,3A 0921-630,140.64,-63.299,0.029999999205271403,,,,,,,4XMM J092234.7-631741,140.64469,-63.294816,1.5758583333333332E-4,,,,,,,2MASS J09223466-6317413,140.644445,-63.294819,1.9444444527228672E-5,,5250451391698996992,140.64445286443043,-63.29480217313239,6.369079152743022E-9,
V* BW Ant,142.33374999999998,-31.384166666666665,1.6666666666666666E-4,,XTE J0929-314,confirmed,,,,,NS,2002IAUC.7893....2R,0,,,,,,,,,,,0.7263183333,8.33E-7,2002ApJ...576L.137G,0,,,,,1.56845855E-8,7.0E-10,2002ApJ...576L.137G,0,0.007,-99.0,2002ApJ...576L.137G,0,0.00540233179,3.0E-13,2002ApJ...576L.137G,0,,,,,,,,,,,,1,,,,2CXO J092920.1-312303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2CXO J092920.1-312303,142.3341014149292,-31.384266278365395,2.076341693306948E-4,,,,,,,0,,,,
V* MM Vel,153.4017,-45.0757,1.7027777777777777E-8,,MM Vel,confirmed,M0V-K6V,1999PASP..111..969F,0,,BH,1999PASP..111..969F,0,,,3.9,-1.0,1999PASP..111..969F,1,,,,,6.844944,3.36E-5,1999PASP..111..969F,0,475.4,5.9,1999PASP..111..969F,0,,,,,,,,,,,,,30.1,5.0,1999PASP..111..969F,0,4052.0,-750.0,1462.0,2,,,,,,,,MM Vel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5414249796406957056,153.4016774835694,-45.07569874903138,1.703240494761202E-8,
PSR J1023+0038,155.9487,0.6447,1.6083333333333332E-8,,PSR J1023+0038,confirmed,G1-F8,2022MNRAS.513...71S,0,,NS,2009Sci...324.1411A,0,,,1.71,0.16,2020MNRAS.498..728B,1,,,,,4.754308846,1.4E-8,2009Sci...324.1411A,0,,,,,2.24E-10,8.0E-21,,0,2.0E-5,-99.0,2009Sci...324.1411A,0,0.001687987444,4.0E-16,2009Sci...324.1411A,0,-26.3,,,,1388.0,-115.0,133.0,0,1.37,0.042,2020MNRAS.498..728B,1,1388.0,,,PSR J1023+0038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4FGL J1023.7+0038,155.9446,0.6499,0.015788,,,,,,,2SXPS J102347.6+003841,155.94871,0.6448,8.333333664470248E-5,,4XMM J102347.6+003841,155.948682,0.644729,1.686611111111111E-5,,2CXO J102347.6+003840,155.94868204737224,0.6447116358917271,1.9725534227903099E-4,,2MASS J10234768+0038412,155.948668,0.644793,5.2777777115503945E-5,,831382647922429952,155.94870458335123,0.6446470547528212,1.609717185298602E-8,
CXOU J110926.4-650224,167.45185938699538,-64.99025458851182,1.0236183802286785E-7,,CXOU J110926.4-650224,confirmed,,,,,NS,2019A&A...622A.211C,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5961.0,-2169.0,2889.0,0,,,,,5961.0,,transitional millisecond pulsar;2019A&A...622A.211C;,Gaia DR3 5240157832565805952,,,,,,,,,,,,,,,,IGR J11098-6457,167.36,-65.04,0.07083333333333333,,,,,,,,,,,,1RXS  J110927.4-650245,167.36417,-65.04583,0.0038888888888888888,,4FGL J1110.3-6501,167.5949,-65.0184,0.06599,,,,,,,2SXPS J110948.4-645923,167.45201,-64.98993,0.001055555542310079,,4XMM J111034.8-650003,167.645005,-65.00093,3.786744444444445E-4,,2CXO J110948.3-645924,167.45162973389586,-64.99018377497855,3.5418457787009255E-4,,,,,,,5240157832565805952,167.45185938699538,-64.99025458851182,1.0236183802286785E-7,
